x saldo gini emiss bip
0.0000 -186.9600 31.0283 681.7000 4479.8111
15.0000 -182.7662 31.0671 681.7000 4476.8678
30.0000 -178.7630 31.1045 673.5250 4474.0582
45.0000 -175.1791 31.1381 658.8100 4471.5430
60.0000 -171.9384 31.1686 644.0950 4469.2686
75.0000 -169.0408 31.1960 629.3800 4467.2351
90.0000 -166.4864 31.2203 614.6650 4465.4423
105.0000 -164.2751 31.2414 599.9500 4463.8904
120.0000 -162.4069 31.2593 585.2350 4462.5793
135.0000 -160.8819 31.2740 570.5200 4461.5090
150.0000 -159.7000 31.2853 555.8050 4460.6795
165.0000 -158.8612 31.2934 541.0900 4460.0908
180.0000 -158.3656 31.2982 526.3750 4459.7430
195.0000 -158.2131 31.2997 511.6600 4459.6359
210.0000 -158.4037 31.2978 496.9450 4459.7697
225.0000 -158.9375 31.2927 482.2300 4460.1443
240.0000 -159.8144 31.2842 467.5150 4460.7597
255.0000 -161.0344 31.2725 452.8000 4461.6160
270.0000 -159.5094 31.2872 452.8000 4460.5457
285.0000 -157.9843 31.3019 452.8000 4459.4754
300.0000 -156.4593 31.3166 452.8000 4458.4051
