x saldo gini emiss bip
0.0000 -205.4727 31.7055 649.0000 4486.5293
2.0000 -201.3803 31.6382 649.0000 4484.4555
4.0000 -196.7820 31.5621 649.0000 4482.1226
6.0000 -192.2674 31.4868 649.0000 4479.8293
8.0000 -187.8363 31.4124 649.0000 4477.5757
10.0000 -183.4884 31.3388 649.0000 4475.3617
12.0000 -179.2233 31.2661 649.0000 4473.1873
14.0000 -175.0409 31.1943 649.0000 4471.0525
16.0000 -170.9407 31.1234 649.0000 4468.9574
18.0000 -166.9227 31.0535 649.0000 4466.9019
20.0000 -162.9864 30.9846 649.0000 4464.8860
22.0000 -159.1317 30.9166 649.0000 4462.9098
24.0000 -155.3582 30.8496 649.0000 4460.9731
26.0000 -151.6658 30.7837 649.0000 4459.0761
28.0000 -148.0542 30.7188 649.0000 4457.2188
30.0000 -144.5231 30.6549 649.0000 4455.4010
32.0000 -141.0723 30.5921 649.0000 4453.6229
34.0000 -137.7016 30.5305 649.0000 4451.8844
36.0000 -134.4108 30.4699 649.0000 4450.1855
38.0000 -131.1996 30.4105 649.0000 4448.5263
40.0000 -128.0678 30.3522 649.0000 4446.9067
