x saldo gini emiss bip
0.0000 -375.0948 30.0322 649.0000 4595.5890
1.5000 -354.4038 30.1247 649.0000 4583.9646
3.0000 -334.6720 30.2166 649.0000 4572.6788
4.5000 -315.8513 30.3079 649.0000 4561.7170
6.0000 -297.8967 30.3985 649.0000 4551.0654
7.5000 -280.7661 30.4885 649.0000 4540.7111
9.0000 -264.4200 30.5779 649.0000 4530.6417
10.5000 -248.8214 30.6667 649.0000 4520.8457
12.0000 -233.9355 30.7549 649.0000 4511.3122
13.5000 -219.7296 30.8425 649.0000 4502.0306
15.0000 -206.1729 30.9295 649.0000 4492.9911
16.5000 -193.2364 31.0159 649.0000 4484.1844
18.0000 -180.8929 31.1018 649.0000 4475.6016
19.5000 -169.1166 31.1871 649.0000 4467.2343
21.0000 -157.8831 31.2719 649.0000 4459.0745
22.5000 -147.1696 31.3561 649.0000 4451.1144
24.0000 -136.9544 31.4397 649.0000 4443.3470
25.5000 -127.2168 31.5228 649.0000 4435.7652
27.0000 -117.9375 31.6053 649.0000 4428.3625
28.5000 -109.0980 31.6874 649.0000 4421.1327
30.0000 -100.6809 31.7688 649.0000 4414.0697
