x saldo gini emiss bip
40.0000 -126.8550 32.9637 649.0000 4431.8350
40.6500 -130.6027 32.8116 649.0000 4434.9359
41.3000 -134.3504 32.6605 649.0000 4438.0368
41.9500 -138.0981 32.5104 649.0000 4441.1377
42.6000 -141.8458 32.3612 649.0000 4444.2386
43.2500 -145.5935 32.2131 649.0000 4447.3395
43.9000 -149.3412 32.0659 649.0000 4450.4404
44.5500 -153.0889 31.9196 649.0000 4453.5414
45.2000 -156.8366 31.7743 649.0000 4456.6423
45.8500 -160.5843 31.6299 649.0000 4459.7432
46.5000 -164.3320 31.4864 649.0000 4462.8441
47.1500 -168.0797 31.3438 649.0000 4465.9450
47.8000 -171.8274 31.2022 649.0000 4469.0459
48.4500 -175.5751 31.0614 649.0000 4472.1468
49.1000 -179.3228 30.9215 649.0000 4475.2477
49.7500 -183.0705 30.7825 649.0000 4478.3486
50.4000 -186.8182 30.6443 649.0000 4481.4495
51.0500 -190.5659 30.5071 649.0000 4484.5504
51.7000 -194.3136 30.3706 649.0000 4487.6513
52.3500 -198.0613 30.2350 649.0000 4490.7522
53.0000 -201.8090 30.1003 649.0000 4493.8531
