x saldo gini emiss bip
20.0000 -230.1700 35.1246 649.0000 4535.0046
22.7500 -222.1784 34.6496 649.0000 4526.5293
25.5000 -214.4627 34.1704 649.0000 4518.1669
28.2500 -207.0073 33.6874 649.0000 4509.9354
31.0000 -199.8313 33.2002 649.0000 4501.8036
33.7500 -192.9321 32.7089 649.0000 4493.7711
36.5000 -186.3071 32.2134 649.0000 4485.8378
39.2500 -179.9538 31.7140 649.0000 4478.0033
42.0000 -173.8696 31.2107 649.0000 4470.2673
44.7500 -173.0544 31.1631 649.0000 4470.0222
47.5000 -172.2435 31.1156 649.0000 4469.7780
50.2500 -171.4370 31.0681 649.0000 4469.5345
53.0000 -170.6347 31.0208 649.0000 4469.2919
55.7500 -169.8367 30.9736 649.0000 4469.0501
58.5000 -169.0430 30.9264 649.0000 4468.8091
61.2500 -168.2535 30.8794 649.0000 4468.5689
64.0000 -167.4684 30.8324 649.0000 4468.3296
66.7500 -166.6875 30.7856 649.0000 4468.0911
69.5000 -165.9108 30.7388 649.0000 4467.8534
72.2500 -165.1384 30.6922 649.0000 4467.6165
75.0000 -164.3702 30.6456 649.0000 4467.3805
